Packet_ID,Rx_Time_Sec,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
106,10.98,1.9764714676,-1.411765334,4.3262232608,-0.5742037000000001,-0.11117561000000002,0.09773680000000001
106,10.98,1.9764714676,-1.3974083983999999,4.3214376156,-0.5607648900000001,-0.11361903000000002,0.09407167000000001
106,10.98,1.9669001771999999,-1.411765334,4.3453658416,-0.5448826600000001,-0.11606245000000003,0.08796312000000002
106,10.98,1.9908284031999999,-1.43569356,4.331008906,-0.5265570100000001,-0.11850587000000001,0.08063286000000001
106,10.98,2.0051853388,-1.4309079148,4.331008906,-0.5082313600000001,-0.11728416000000003,0.07330260000000001
106,10.98,1.9764714676,-1.4452648504,4.30708068,-0.4899057100000001,-0.11606245000000003,0.06597234
106,10.98,1.986042758,-1.4883356572,4.3262232608,-0.4703583500000001,-0.11361903000000002,0.05864208000000001
106,10.98,1.9764714676,-1.483550012,4.3118663252,-0.4447024400000001,-0.11117561000000002,0.05375524000000001
106,10.98,1.9477575964,-1.4931213024,4.30708068,-0.41782482000000004,-0.10628877000000002,0.047646690000000005
106,10.98,1.9477575964,-1.483550012,4.3118663252,-0.39216891000000004,-0.10262364000000002,0.04153814000000001
106,10.98,1.91425808,-1.5361921092,4.331008906,-0.36529129000000005,-0.09773680000000001,0.036651300000000005
106,10.98,1.8951154991999999,-1.55533469,4.3262232608,-0.34085709000000003,-0.09407167000000001,0.03298617
106,10.98,1.8807585636,-1.5218351736,4.354937132,-0.31642289000000007,-0.08796312000000002,0.029321040000000007
107,11.0309,1.8568303376,-1.5649059804,4.3836510032,-0.29687553000000005,-0.08307628000000002,0.029321040000000007
107,11.0309,1.842473402,-1.531406464,4.3740797127999995,-0.28221501000000004,-0.07574602000000001,0.030542750000000004
107,11.0309,1.8520446924,-1.5505490447999999,4.3980079388,-0.26999791000000006,-0.07085918000000001,0.030542750000000004
107,11.0309,1.8137595307999999,-1.55533469,4.378865358,-0.26144594000000004,-0.06597234,0.030542750000000004
107,11.0309,1.8329021116,-1.5218351736,4.3932222936,-0.25900252000000007,-0.06230721000000001,0.030542750000000004
107,11.0309,1.8376877567999998,-1.55533469,4.3645084224,-0.26144594000000004,-0.05742037000000001,0.03176446000000001
107,11.0309,1.8329021116,-1.5409777544,4.3597227772,-0.26511107000000006,-0.05375524000000001,0.03176446000000001
107,11.0309,1.8281164664,-1.5457633996,4.3357945512,-0.26755449000000003,-0.05253353000000001,0.03176446000000001
107,11.0309,1.842473402,-1.5457633996,4.3214376156,-0.2687762,-0.05253353000000001,0.03176446000000001
107,11.0309,1.8472590472,-1.5409777544,4.3214376156,-0.26755449000000003,-0.05131182000000001,0.029321040000000007
107,11.0309,1.8376877567999998,-1.5505490447999999,4.283152454,-0.26511107000000006,-0.05742037000000001,0.030542750000000004
107,11.0309,1.8568303376,-1.5266208188,4.2927237444,-0.26022423000000006,-0.06230721000000001,0.028099330000000006
107,11.0309,1.8951154991999999,-1.5170495284,4.2927237444,-0.25411568000000007,-0.07085918000000001,0.026877620000000005
107,11.0309,1.8999011444,-1.4979069476,4.2400816472,-0.25045055000000005,-0.08185457000000002,0.023212490000000002
107,11.0309,1.8999011444,-1.5026925928,4.2544385828,-0.24800713000000005,-0.09407167000000001,0.020769070000000004
107,11.0309,1.9046867896,-1.4883356572,4.2879380992,-0.24800713000000005,-0.10751048000000002,0.018325650000000002
107,11.0309,1.9046867896,-1.5122638832,4.2496529376,-0.25167226000000004,-0.11972758000000001,0.015882230000000004
107,11.0309,1.9334006608,-1.531406464,4.2640098732,-0.25411568000000007,-0.13316639000000002,0.012217100000000002
107,11.0309,1.9573288868,-1.5266208188,4.2687955184,-0.25655910000000004,-0.14660520000000002,0.006108550000000001
107,11.0309,1.962114532,-1.5266208188,4.2735811636,-0.25900252000000007,-0.16004401000000001,0.003665130000000001
108,11.0762,2.0051853388,-1.5457633996,4.2161534212,-0.26388936,-0.17470453000000002,0.0012217100000000002
108,11.0762,2.0051853388,-1.531406464,4.2783668087999995,-0.26999791000000006,-0.18569992000000002,-0.003665130000000001
108,11.0762,2.0195422744,-1.5457633996,4.2448672923999995,-0.27488475000000007,-0.19669531000000004,-0.007330260000000002
108,11.0762,2.0099709839999997,-1.5888342064,4.235296002,-0.27732817000000004,-0.20769070000000003,-0.013438810000000002
108,11.0762,2.0099709839999997,-1.6079767872,4.235296002,-0.2846584300000001,-0.21257754000000004,-0.018325650000000002
108,11.0762,2.0291135648,-1.627119368,4.2687955184,-0.29321040000000004,-0.21746438000000004,-0.020769070000000004
108,11.0762,2.0626130812,-1.6606188844,4.2496529376,-0.29687553000000005,-0.21990780000000004,-0.028099330000000006
108,11.0762,2.0482561456,-1.6654045296,4.2975093896,-0.29809724000000004,-0.21868609000000003,-0.03298617
108,11.0762,2.0769700168,-1.6462619487999999,4.2640098732,-0.29687553000000005,-0.21868609000000003,-0.03420788
108,11.0762,2.0769700168,-1.6558332392,4.2927237444,-0.29931895000000003,-0.21257754000000004,-0.037873010000000006
108,11.0762,2.0721843716,-1.6701901747999999,4.30708068,-0.29809724000000004,-0.20646899000000005,-0.04153814000000001
108,11.0762,2.0865413072,-1.6845471104,4.331008906,-0.29687553000000005,-0.19791702000000003,-0.04520327000000001
108,11.0762,2.0721843716,-1.7180466267999999,4.2879380992,-0.29565382000000007,-0.18692163000000003,-0.047646690000000005
108,11.0762,2.081755662,-1.7180466267999999,4.2735811636,-0.29565382000000007,-0.17836966000000004,-0.05497695000000001
108,11.0762,2.081755662,-1.722832272,4.2687955184,-0.28954527,-0.16981769000000002,-0.06108550000000001
108,11.0762,2.0721843716,-1.7180466267999999,4.2735811636,-0.2846584300000001,-0.16126572000000003,-0.06841576
108,11.0762,2.0482561456,-1.6654045296,4.2640098732,-0.28710185000000005,-0.15149204000000002,-0.07330260000000001
108,11.0762,2.0769700168,-1.6893327556,4.235296002,-0.28710185000000005,-0.14294007000000003,-0.08063286000000001
108,11.0762,2.0673987264,-1.6797614652,4.2496529376,-0.28710185000000005,-0.13316639000000002,-0.08551970000000002
108,11.0762,2.0673987264,-1.6845471104,4.211367776,-0.2846584300000001,-0.12583613000000002,-0.09529338000000001
109,11.1359,2.0673987264,-1.67497582,4.1826539047999995,-0.28221501000000004,-0.11850587000000001,-0.10140193000000002
109,11.1359,2.0530417908,-1.6558332392,4.1922251952,-0.26755449000000003,-0.11361903000000002,-0.10873219000000002
109,11.1359,2.0530417908,-1.6462619487999999,4.18743955,-0.25167226000000004,-0.11117561000000002,-0.11239732000000002
109,11.1359,2.0195422744,-1.6223337227999999,4.2209390664,-0.22968148000000005,-0.10873219000000002,-0.11484074000000002
109,11.1359,2.0626130812,-1.6175480776,4.1970108404,-0.20769070000000003,-0.10751048000000002,-0.11239732000000002
109,11.1359,2.0530417908,-1.6606188844,4.18743955,-0.19547360000000003,-0.10751048000000002,-0.11361903000000002
109,11.1359,2.0386848552,-1.651047594,4.211367776,-0.17836966000000004,-0.10873219000000002,-0.11484074000000002
109,11.1359,2.0673987264,-1.6462619487999999,4.2161534212,-0.15882230000000003,-0.11239732000000002,-0.11850587000000001
109,11.1359,2.03389921,-1.6558332392,4.259224228,-0.13805323000000003,-0.11606245000000003,-0.11972758000000001
109,11.1359,2.0434705004,-1.6845471104,4.2400816472,-0.12217100000000002,-0.11728416000000003,-0.12094929000000001
109,11.1359,2.0865413072,-1.6366906584,4.2448672923999995,-0.10751048000000002,-0.11850587000000001,-0.12339271000000002
109,11.1359,2.0673987264,-1.6606188844,4.2496529376,-0.09284996000000001,-0.12094929000000001,-0.12583613000000002
109,11.1359,2.0673987264,-1.6893327556,4.2257247116,-0.07818944000000001,-0.12094929000000001,-0.12583613000000002
109,11.1359,2.03389921,-1.6654045296,4.2687955184,-0.06719405,-0.11850587000000001,-0.12705784000000003
109,11.1359,2.0243279196,-1.6797614652,4.2544385828,-0.05253353000000001,-0.11606245000000003,-0.12950126000000003
109,11.1359,2.0051853388,-1.6845471104,4.283152454,-0.036651300000000005,-0.11361903000000002,-0.12950126000000003
109,11.1359,1.986042758,-1.6414763036,4.2783668087999995,-0.029321040000000007,-0.11239732000000002,-0.12705784000000003
109,11.1359,1.9908284031999999,-1.6462619487999999,4.2735811636,-0.025655910000000004,-0.10628877000000002,-0.12705784000000003
109,11.1359,1.9908284031999999,-1.6606188844,4.3214376156,-0.019547360000000003,-0.10140193000000002,-0.12217100000000002
109,11.1359,1.9812571128,-1.627119368,4.3022950348,-0.015882230000000004,-0.09651509000000001,-0.12217100000000002
110,11.1704,1.9716858224,-1.6366906584,4.2640098732,-0.018325650000000002,-0.09040654000000002,-0.11972758000000001
110,11.1704,1.9764714676,-1.627119368,4.2544385828,-0.013438810000000002,-0.08674141000000002,-0.11972758000000001
110,11.1704,2.0099709839999997,-1.651047594,4.259224228,-0.007330260000000002,-0.08307628000000002,-0.12094929000000001
110,11.1704,2.0195422744,-1.6223337227999999,4.235296002,0.0012217100000000002,-0.08185457000000002,-0.12339271000000002
110,11.1704,2.0003996936,-1.5984054967999999,4.2305103568,0.018325650000000002,-0.07941115000000001,-0.12217100000000002
110,11.1704,2.0099709839999997,-1.5840485612,4.2209390664,0.03176446000000001,-0.07941115000000001,-0.12339271000000002
110,11.1704,2.0195422744,-1.6127624324,4.2209390664,0.046424980000000005,-0.07818944000000001,-0.12217100000000002
110,11.1704,2.0003996936,-1.627119368,4.2448672923999995,0.06475063000000002,-0.07941115000000001,-0.12339271000000002
110,11.1704,2.03389921,-1.6079767872,4.235296002,0.08429799000000002,-0.08551970000000002,-0.12217100000000002
110,11.1704,2.0673987264,-1.6079767872,4.2448672923999995,0.09773680000000001,-0.08674141000000002,-0.12461442000000002
110,11.1704,2.057827436,-1.6079767872,4.2400816472,0.10262364000000002,-0.08918483000000002,-0.12583613000000002
110,11.1704,2.0434705004,-1.6319050132,4.2687955184,0.09773680000000001,-0.08918483000000002,-0.12950126000000003
110,11.1704,2.0626130812,-1.6606188844,4.2687955184,0.08918483000000002,-0.08918483000000002,-0.13316639000000002
110,11.1704,2.0482561456,-1.651047594,4.2735811636,0.08185457000000002,-0.08551970000000002,-0.13683152
110,11.1704,2.0291135648,-1.6223337227999999,4.283152454,0.07208089000000001,-0.08429799000000002,-0.13927494
110,11.1704,2.0386848552,-1.603191142,4.259224228,0.06597234,-0.08307628000000002,-0.14049665000000003
110,11.1704,2.0099709839999997,-1.603191142,4.2544385828,0.05864208000000001,-0.08063286000000001,-0.14049665000000003
110,11.1704,2.0243279196,-1.6175480776,4.2496529376,0.05131182000000001,-0.07818944000000001,-0.14294007000000003
110,11.1704,2.0099709839999997,-1.6127624324,4.2544385828,0.04275985000000001,-0.07452431000000001,-0.14538349000000003
110,11.1704,2.0147566292,-1.6366906584,4.283152454,0.046424980000000005,-0.07085918000000001,-0.14660520000000002
111,11.2424,1.986042758,-1.5984054967999999,4.2735811636,0.05253353000000001,-0.06963747,-0.15027033000000004
111,11.2424,1.9956140484,-1.5649059804,4.2400816472,0.05986379000000001,-0.06719405,-0.15027033000000004
111,11.2424,2.0195422744,-1.5936198516,4.2161534212,0.06841576,-0.06352892000000002,-0.15393546000000002
111,11.2424,1.986042758,-1.6175480776,4.2065821308,0.08674141000000002,-0.06352892000000002,-0.15882230000000003
111,11.2424,2.0243279196,-1.6175480776,4.1587256788,0.10506706000000002,-0.06230721000000001,-0.16737427000000002
111,11.2424,2.0195422744,-1.6127624324,4.1730826144,0.12583613000000002,-0.05986379000000001,-0.17714795000000003
111,11.2424,2.0051853388,-1.6462619487999999,4.1443687432,0.16126572000000003,-0.05986379000000001,-0.18569992000000002
111,11.2424,2.0195422744,-1.651047594,4.1539400336,0.19669531000000004,-0.05986379000000001,-0.19547360000000003
111,11.2424,2.0434705004,-1.6319050132,4.1587256788,0.23701174000000003,-0.06108550000000001,-0.20402557000000004
111,11.2424,2.0482561456,-1.5888342064,4.1300118076,0.27977159000000007,-0.06230721000000001,-0.21135583000000002
111,11.2424,2.0099709839999997,-1.5888342064,4.139583098,0.31642289000000007,-0.06230721000000001,-0.21379925000000002
